Sent RTT request to jkl at 1543049920.207747
Received RTT request from def at 1543049920.2197309
Sent RTT request to def at 1543049920.219794
Sent RTT request to def at 1543049920.225375
Received RTT request from def at 1543049920.2321699
Sent RTT request to mno at 1543049920.2383418
Sent RTT request to mno at 1543049920.2511518
Sent RTT request to mno at 1543049920.280658
Calculated new RTT sum 0.09448623657226562 at 1543049920.286227
Received new RTT sum from abc at 1543049920.286649
Received new RTT sum from def at 1543049920.337922
Received RTT request from jkl at 1543049920.6659489
Received RTT request from jkl at 1543049920.712085
Received RTT request from mno at 1543049920.7864928
Received RTT request from mno at 1543049920.7865222
Received RTT request from mno at 1543049920.805129
Received new RTT sum from mno at 1543049920.875935
Received new RTT sum from jkl at 1543049920.899501
Sent RTT request to abc at 1543049925.3283682
Sent RTT request to abc at 1543049925.3627362
Sent RTT request to abc at 1543049925.390965
Sent RTT request to jkl at 1543049925.4026759
Sent RTT request to jkl at 1543049925.433573
Sent RTT request to def at 1543049925.4457731
Received RTT request from abc at 1543049925.463236
Sent RTT request to def at 1543049925.476015
Received RTT request from abc at 1543049925.476685
Received RTT request from def at 1543049925.476981
Sent RTT request to mno at 1543049925.47755
Received RTT request from def at 1543049925.4893389
Sent RTT request to mno at 1543049925.495137
Sent RTT request to mno at 1543049925.514175
Calculated new RTT sum 0.17193222045898438 at 1543049925.532825
Received new RTT sum from abc at 1543049925.56956
Received new RTT sum from def at 1543049925.578662
Received RTT request from jkl at 1543049925.9567518
Received RTT request from jkl at 1543049925.975177
Received RTT request from jkl at 1543049925.985812
Received RTT request from mno at 1543049926.061868
Received RTT request from mno at 1543049926.068065
Received RTT request from mno at 1543049926.074143
Received RTT request from mno at 1543049926.091872
Received new RTT sum from jkl at 1543049926.103411
Received new RTT sum from mno at 1543049926.116172
